"Threads","Prob","Gets","Sets","Time","Ops/Sec"
1,50,1070221,1080637,60,35847
2,50,2062728,2072880,60,68926
3,50,2334262,2342743,60,77950
4,50,3498785,3511459,60,116837
5,50,3299556,3308708,60,110137
6,50,3501711,3511178,60,116881
7,50,3597040,3608282,60,120088
8,50,3500835,3508840,60,116827
9,50,3638200,3648000,60,121436
10,50,3698830,3710192,60,123483
11,50,3610099,3619054,60,120485
12,50,3696364,3705466,60,123363
13,50,3645860,3659817,60,121761
14,50,3674129,3682608,60,122612
15,50,3700243,3708737,60,123483
16,50,3801771,3807182,60,126815
